ID;ELO_coeff;Name;Total points;Latest change;10.01.2026;17.01.2026
7;40;Marton;2646;0;2646;2646
1;40;Andrej;2405;0;2405;2405
167;40;Mauricio;2378;0;2378;2378
3;40;Vladlen;2366;-28;2394;2366
153;40;Nikola;2357;76;2281;2357
2;40;Armen;2350;0;2350;2350
237;40;Laura;2340;0;2340;2340
5;40;Sasha;2307;0;2307;2307
206;40;Fernando;2300;0;2300;2300
283;40;Thomas G.;2268;-12;2280;2268
255;40;Markus P.;2264;0;2264;2264
181;40;Luis;2246;0;2246;2246
124;40;Arthur;2242;0;2242;2242
10;40;Lai Ao;2194;0;2194;2194
13;40;Amin;2176;0;2176;2176
12;40;Marcelo;2106;0;2106;2106
11;40;Gleb K.;2095;0;2095;2095
156;40;Ilya;2084;0;2084;2084
202;40;Wolfgang;2036;0;2036;2036
17;40;Uliana;2027;0;2027;2027
211;40;Cristian;2022;0;2022;2022
154;40;Anna;1987;0;1987;1987
245;40;Emanuel;1974;0;1974;1974
9;40;Paul;1971;0;1971;1971
184;60;Urska;1948;0;1948;1948
280;60;Mario;1944;-36;1980;1944
139;50;Alexander S.;1943;0;1943;1943
214;60;Christian;1896;0;1896;1896
123;60;Jacqueline;1889;0;1889;1889
178;50;Thomas;1873;-15;1888;1873
204;50;Karl;1869;0;1869;1869
16;40;Aleksei;1832;0;1832;1832
256;60;Daniel;1816;0;1816;1816
198;40;George;1815;68;1747;1815
270;60;Markus Q.;1782;0;1782;1782
185;50;Anna V.;1744;0;1744;1744
205;60;Silvia;1740;0;1740;1740
108;50;Sigge;1737;0;1737;1737
285;60;Felix;1718;-12;1730;1718
105;40;Farhan;1713;16;1697;1713
286;60;Dennis;1684;0;1684;1684
284;60;Eva;1680;-54;1734;1680
187;50;Federico;1652;0;1652;1652
249;50;Jim;1648;0;1648;1648
203;60;Jonathan;1642;0;1642;1642
43;40;Arbab;1640;-20;1660;1640
257;60;Maximilian;1640;0;1640;1640
239;60;Hauke;1612;0;1612;1612
250;50;Octavian;1593;-5;1598;1593
231;40;Stefan;1586;0;1586;1586
36;40;Jan Patrick;1585;0;1585;1585
136;50;Jasi;1550;0;1550;1550
275;60;Michael;1524;72;1452;1524
107;50;Christopher;1500;-35;1535;1500
251;60;Alex M.;1490;-54;1544;1490
262;60;Simone;1484;0;1484;1484
258;60;Fabricio;1456;0;1456;1456
175;40;Cesar;1432;0;1432;1432
238;50;Gleb;1388;0;1388;1388
186;60;Mauricio Gabriel;1388;0;1388;1388
222;40;Andreas;1385;8;1377;1385
230;60;Stanislav K.;1376;0;1376;1376
197;60;Agustin;1376;0;1376;1376
210;40;Lisa-Sophie;1365;0;1365;1365
31;40;Valeria;1362;-28;1390;1362
182;50;Markus S.;1349;0;1349;1349
281;60;Patrick S.;1318;0;1318;1318
278;60;Ahmed;1296;72;1224;1296
170;40;Ilia A.;1254;68;1186;1254
159;50;Mark;1245;0;1245;1245
48;40;Kate;1244;0;1244;1244
246;60;Malte;1212;0;1212;1212
242;60;Markus F.;1210;0;1210;1210
34;40;Arina;1204;-32;1236;1204
264;60;Misha;1201;0;1201;1201
38;40;Anna;1195;0;1195;1195
135;50;Christian;1193;-40;1233;1193
81;40;Ilia;1188;-8;1196;1188
194;50;Daria;1181;95;1086;1181
109;40;Osman;1171;-8;1179;1171
42;40;Lucy;1167;0;1167;1167
141;40;Patrick;1164;0;1164;1164
96;40;Chris;1145;0;1145;1145
218;50;Vanya Z.;1145;0;1145;1145
110;50;Nadja;1144;0;1144;1144
72;40;Konstantin;1136;-40;1176;1136
195;60;Simone A.;1130;0;1130;1130
220;40;Steffen;1124;56;1068;1124
267;60;Maria K.;1122;0;1122;1122
161;40;Margarita;1119;0;1119;1119
137;40;Nico;1109;-36;1145;1109
261;60;Maria;1034;0;1034;1034
287;60;Sergiu;1030;0;1030;1030
219;60;Guilherme;1012;0;1012;1012
232;50;Selma-Rina;1009;5;1004;1009
289;60;Carina;974;0;974;974
213;40;Varvara;966;0;966;966
226;50;Maria L.;965;0;965;965
259;60;Stephanie;962;0;962;962
221;50;Frederico;931;0;931;931
263;60;Silvo;930;0;930;930
217;50;Nathanael;898;-10;908;898
268;60;Deniz;888;0;888;888
165;40;Aleksei;885;-4;889;885
293;60;Henry;842;42;800;842
191;50;Verena;837;0;837;837
35;40;Elizabeth;826;28;798;826
273;60;Elena;806;0;806;806
288;60;Karan;788;0;788;788
277;60;Petr;782;0;782;782
292;60;Bernando;782;-18;800;782
85;40;Albert;777;0;777;777
279;60;Jason;776;0;776;776
228;60;Simone W;774;0;774;774
164;50;Kateryna;773;0;773;773
260;60;Veronika;736;0;736;736
229;50;Sofia;736;10;726;736
240;60;Simon R.;734;0;734;734
252;60;Ludivine;732;0;732;732
290;60;Alina;726;-24;750;726
269;60;Vlad;724;0;724;724
233;60;Luisa;704;0;704;704
247;60;Stephanie;690;0;690;690
274;60;Miriam;690;0;690;690
241;60;Nikita;670;0;670;670
254;60;Anna S.;658;0;658;658
173;50;Michaela;644;0;644;644
271;60;Sarah;638;12;626;638
272;60;Aliz;612;0;612;612
223;60;Viktoria;588;0;588;588
227;60;Marina;586;0;586;586
276;60;Bishakha;570;0;570;570
244;60;Karina D.;555;0;555;555
190;60;Vivian;550;0;550;550
160;50;Katja;544;0;544;544
253;60;Katharina;530;0;530;530
115;40;Muhammad;519;0;519;519
291;60;Anna K.;516;-84;600;516
243;60;Mila;512;0;512;512
266;60;Pavel;510;0;510;510
248;60;Edona;494;0;494;494
282;60;Kateryna;486;0;486;486
234;60;Iana;438;-78;516;438
200;50;Jane;215;0;215;215
